Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,179686071,2305.2811676383803,2565745,32.91720719666876,437764,3899172,50.02439939255436,57897,0.7427891489861755,9218,
United States of America,Americas,33257768,10047.58,82369,24.88,14239,597727,180.58,2136,0.65,355,Community transmission
India,South-East Asia,30134445,2183.65,371652,26.93,51667,393310,28.5,9820,0.71,1329,Clusters of cases
Brazil,Americas,18169881,8548.14,541293,254.65,115228,507109,238.57,13416,6.31,2392,Community transmission
France,Europe,5655376,8695.31,11620,17.87,1796,110001,169.13,258,0.4,44,Community transmission
Russian Federation,Europe,5409088,3706.52,127779,87.56,20393,132064,90.5,3619,2.48,601,Clusters of cases
Turkey,Europe,5393248,6394.72,39095,46.35,5703,49417,58.59,405,0.48,59,Community transmission
The United Kingdom,Europe,4684576,6900.65,83949,123.66,16702,128048,188.62,103,0.15,21,Community transmission
Argentina,Americas,4326101,9571.91,127481,282.06,27319,90986,201.32,3725,8.24,705,Community transmission
Italy,Europe,4255700,7135.47,5945,9.97,266,127362,213.55,172,0.29,10,Clusters of cases
Colombia,Americas,4027016,7914.28,197137,387.43,29995,101947,200.36,4387,8.62,645,Community transmission
Spain,Europe,3777539,7980.84,20813,43.97,2162,80766,170.63,59,0.12,2,Community transmission
Germany,Europe,3725580,4479.65,5549,6.67,774,90678,109.03,408,0.49,62,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3140129,3738.56,69703,82.99,11734,83473,99.38,854,1.02,144,Community transmission
Poland,Europe,2879470,7585.91,1004,2.65,134,74953,197.46,171,0.45,36,Community transmission
Mexico,Americas,2487747,1929.49,24357,18.89,4963,231847,179.82,1223,0.95,342,Community transmission
Ukraine,Europe,2232790,5105.42,4598,10.51,876,52234,119.44,282,0.64,53,Community transmission
Indonesia,South-East Asia,2072867,757.84,109601,40.07,18872,56371,20.61,2328,0.85,422,Community transmission
Peru,Americas,2036449,6176.33,21259,64.48,2843,191073,579.5,1551,4.7,167,Community transmission
South Africa,Africa,1877143,3165.04,91064,153.54,16078,59406,100.16,1083,1.83,148,Community transmission
Netherlands,Europe,1681580,9660.04,4980,28.61,716,17735,101.88,15,0.09,1,Community transmission
Czechia,Europe,1666686,15585.33,868,8.12,165,30292,283.26,17,0.16,1,Community transmission
Chile,Americas,1531872,8013.48,33641,175.98,3463,31797,166.34,657,3.44,51,Community transmission
Canada,Americas,1410927,3738.33,5781,15.32,721,26175,69.35,174,0.46,20,Community transmission
Philippines,Western Pacific,1378260,1257.75,38817,35.42,6043,24036,21.93,760,0.69,108,Community transmission
Iraq,Eastern Mediterranean,1311093,3259.6,36464,90.66,6093,16999,42.26,188,0.47,31,Community transmission
Sweden,Europe,1088896,10543.56,4297,41.61,378,14619,141.55,4,0.04,0,Community transmission
Belgium,Europe,1081908,9389.57,1854,16.09,1,25152,218.29,28,0.24,0,Community transmission
Romania,Europe,1080522,5590.21,452,2.34,65,32911,170.27,38,0.2,7,Community transmission
Pakistan,Eastern Mediterranean,951865,430.92,6681,3.02,1097,22108,10.01,234,0.11,35,Community transmission
Bangladesh,South-East Asia,878804,533.61,33834,20.54,5869,13976,8.49,577,0.35,108,Community transmission
Portugal,Europe,869879,8448.78,8251,80.14,1556,17079,165.88,22,0.21,2,Clusters of cases
Israel,Europe,840522,9710.8,729,8.42,215,6429,74.28,1,0.01,0,Community transmission
Hungary,Europe,807910,8269.69,482,4.93,66,29896,306.01,30,0.31,8,Community transmission
Japan,Western Pacific,791082,625.48,10184,8.05,1642,14598,11.54,278,0.22,45,Clusters of cases
Jordan,Eastern Mediterranean,748685,7337.79,3319,32.53,582,9703,95.1,68,0.67,10,Community transmission
Malaysia,Western Pacific,716847,2214.81,38083,117.66,5841,4721,14.59,519,1.6,84,Community transmission
Serbia,Europe,716096,10338.19,654,9.44,80,7019,101.33,34,0.49,6,Community transmission
Switzerland,Europe,699273,8079.77,690,7.97,1,10283,118.82,4,0.05,0,Community transmission
Austria,Europe,645862,7256.01,729,8.19,73,10439,117.28,24,0.27,4,Community transmission
Nepal,South-East Asia,631152,2166.17,13205,45.32,1721,8945,30.7,304,1.04,27,Community transmission
United Arab Emirates,Eastern Mediterranean,620309,6271.83,14181,143.38,2161,1775,17.95,34,0.34,2,Community transmission
Lebanon,Eastern Mediterranean,544002,7970.21,903,13.23,137,7835,114.79,24,0.35,3,Community transmission
Morocco,Eastern Mediterranean,528180,1430.97,2737,7.42,484,9265,25.1,40,0.11,11,Community transmission
Saudi Arabia,Eastern Mediterranean,479390,1377.01,8667,24.9,1255,7730,22.2,95,0.27,14,Community transmission
Kazakhstan,Europe,468398,2494.57,4388,23.37,0,7666,40.83,80,0.43,0,Clusters of cases
Ecuador,Americas,449483,2547.65,7142,40.48,376,21377,121.16,202,1.14,10,Community transmission
Bolivia (Plurinational State of),Americas,426748,3655.85,12235,104.81,2270,16329,139.89,503,4.31,86,Community transmission
Bulgaria,Europe,421401,6062.03,542,7.8,62,18022,259.25,42,0.6,9,Clusters of cases
Greece,Europe,419909,3917.59,2656,24.78,454,12613,117.67,119,1.11,18,Community transmission
Belarus,Europe,413139,4372.16,4518,47.81,786,3082,32.62,67,0.71,10,Community transmission
Paraguay,Americas,411615,5770.95,12854,180.22,2148,11973,167.86,792,11.1,124,Community transmission
Panama,Americas,396526,9189.97,6305,146.13,1077,6491,150.44,34,0.79,8,Community transmission
Tunisia,Eastern Mediterranean,395362,3345.25,18671,157.98,3951,14406,121.89,614,5.2,88,Community transmission
Slovakia,Europe,391490,7172.94,242,4.43,34,12505,229.12,27,0.49,3,Clusters of cases
Georgia,Europe,362183,9079.15,4592,115.11,699,5237,131.28,106,2.66,9,Community transmission
Uruguay,Americas,360247,10370.61,13732,395.31,1786,5374,154.7,254,7.31,24,Community transmission
Croatia,Europe,359521,8859.2,490,12.07,118,8196,201.96,28,0.69,4,Community transmission
Costa Rica,Americas,357523,7018.35,10366,203.49,1903,4567,89.65,130,2.55,21,Community transmission
Kuwait,Eastern Mediterranean,346560,8115.07,12344,289.05,1761,1903,44.56,61,1.43,9,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,342206,6708.06,1031,20.21,174,3823,74.94,10,0.2,0,Community transmission
Azerbaijan,Europe,335676,3310.68,337,3.32,51,4965,48.97,6,0.06,0,Clusters of cases
Dominican Republic,Americas,320136,2951.13,7321,67.49,882,3781,34.85,48,0.44,8,Community transmission
Denmark,Europe,292352,5020.85,1335,22.93,173,2531,43.47,3,0.05,0,Community transmission
